,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,39.0,2014-01-18,29-019,MIA,@,CHA,W (+8),1.0,44:52,13.0,25.0,0.52,0.0,3.0,0.0,8.0,10.0,0.8,2.0,6.0,8.0,6.0,1.0,0.0,2.0,4.0,34.0,25.7,13.0
39,40.0,2014-01-20,29-021,MIA,@,ATL,L (-7),1.0,38:43,11.0,21.0,0.524,3.0,7.0,0.429,5.0,8.0,0.625,1.0,3.0,4.0,6.0,1.0,0.0,3.0,1.0,30.0,21.9,0.0
40,41.0,2014-01-21,29-022,MIA,,BOS,W (+7),1.0,38:48,10.0,19.0,0.526,0.0,4.0,0.0,9.0,11.0,0.818,1.0,7.0,8.0,4.0,2.0,0.0,3.0,1.0,29.0,23.1,10.0
41,42.0,2014-01-23,29-024,MIA,,LAL,W (+7),1.0,37:18,9.0,15.0,0.6,2.0,4.0,0.5,7.0,13.0,0.538,2.0,11.0,13.0,6.0,1.0,0.0,5.0,1.0,27.0,22.2,4.0
42,43.0,2014-01-26,29-027,MIA,,SAS,W (+12),1.0,27:43,8.0,15.0,0.533,1.0,3.0,0.333,1.0,1.0,1.0,0.0,7.0,7.0,6.0,1.0,0.0,4.0,4.0,18.0,12.4,21.0
43,44.0,2014-01-29,29-030,MIA,,OKC,L (-17),1.0,42:10,12.0,20.0,0.6,1.0,5.0,0.2,9.0,9.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,1.0,34.0,24.8,-17.0
44,45.0,2014-02-01,29-033,MIA,@,NYK,W (+15),1.0,39:06,13.0,22.0,0.591,1.0,3.0,0.333,3.0,6.0,0.5,1.0,7.0,8.0,7.0,6.0,0.0,2.0,3.0,30.0,29.1,14.0
45,46.0,2014-02-03,29-035,MIA,,DET,W (+6),1.0,38:19,9.0,19.0,0.474,0.0,3.0,0.0,6.0,8.0,0.75,1.0,7.0,8.0,11.0,2.0,2.0,1.0,1.0,24.0,26.0,6.0
46,47.0,2014-02-05,29-037,MIA,@,LAC,W (+4),1.0,40:47,11.0,20.0,0.55,3.0,7.0,0.429,6.0,8.0,0.75,1.0,7.0,8.0,12.0,3.0,1.0,7.0,2.0,31.0,27.7,3.0
47,48.0,2014-02-08,29-040,MIA,@,UTA,L (-5),1.0,39:21,4.0,13.0,0.308,1.0,6.0,0.167,4.0,6.0,0.667,0.0,7.0,7.0,5.0,0.0,0.0,5.0,2.0,13.0,4.5,0.0
