G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,FTR,hAST%,TOV%,AST-TOV,DREB%,OREB%,POSS,Year_Number,GmSc-Per-PTS,GmSc-Per-FT,FTR-Per-FGA,PTS-Per-TOV,PTS-Per-POSS,game_result-Per-PTS,PER,PER-Per-PTS,STLS-and-BLKS,STL-BLK-Per-PF,Won,High-3P%-Shooting,High-FG%-Shooting,Over-3-BLKs-and-STLs,Played-Above-Avg-Min,Above-Avg-FT%,Career-Stage,Above-Avg-PTS-Per-POSS,More-BLKs-Than-STLs,More-AST-Than-TOV,PTS-Cat,2P,2PA,2P%,2P%-Above-50%,More than 3 Fouls,FTR-Above-Avg,Less-Than-3-TOV
21,2003-12-09,18,CLE,1,TOR,-7,1.0,37,7.0,16.0,0.43799999999999994,0.0,0.0,0.0,4.0,4.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,2.0,18.0,11.4,-2.0,0.5027932960893855,0.25,0.13100436681222707,0.08733624454148473,1.5,1.0,0.0,19.76,1,0.6333333333333333,2.85,0.015625,9.0,0.9109311740890688,-0.3888888888888889,14.198945945945953,0.7888303303303307,1.0,0.5,False,False,False,False,False,True,rising,False,False,True,below 20,7.0,16.0,0.4375,False,False,False,True
22,2003-12-11,18,CLE,1,DET,9,1.0,42,8.0,21.0,0.381,1.0,3.0,0.33299999999999996,6.0,8.0,0.75,1.0,2.0,3.0,9.0,1.0,1.0,4.0,3.0,23.0,14.8,9.0,0.4637096774193548,0.2857142857142857,0.2380952380952381,0.10582010582010583,2.25,0.6666666666666666,0.3333333333333333,27.52,1,0.6434782608695653,2.466666666666667,0.013605442176870748,5.75,0.8357558139534884,0.391304347826087,16.12211904761905,0.7009616977225674,2.0,0.5,True,False,False,False,True,True,rising,False,False,True,below 35,7.0,18.0,0.3888888888888889,False,False,False,False
23,2003-12-13,18,CLE,1,BOS,-7,1.0,45,10.0,20.0,0.5,1.0,5.0,0.2,16.0,18.0,0.889,1.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,37.0,27.5,-2.0,0.6479859894921192,0.8,0.11577424023154849,0.057887120115774245,2.0,0.6666666666666666,0.3333333333333333,28.92,1,0.7432432432432432,1.71875,0.04,18.5,1.2793914246196403,-0.1891891891891892,28.743666666666666,0.7768558558558558,0.0,0.0,False,False,False,False,True,True,rising,True,False,True,above 35,9.0,15.0,0.6,True,False,True,True
24,2003-12-15,18,CLE,0,IND,-10,1.0,43,10.0,16.0,0.625,0.0,3.0,0.0,7.0,8.0,0.875,1.0,3.0,4.0,6.0,3.0,3.0,6.0,1.0,27.0,23.9,-12.0,0.6818181818181818,0.4375,0.18867924528301885,0.18867924528301885,1.0,0.75,0.25,24.52,1,0.8851851851851852,3.414285714285714,0.02734375,4.5,1.101141924959217,-0.37037037037037035,27.020046511627907,1.0007424633936262,6.0,1.0,False,False,True,True,True,True,rising,True,False,False,below 35,10.0,13.0,0.7692307692307693,True,False,True,False
25,2003-12-17,18,CLE,1,HOU,-4,1.0,36,7.0,19.0,0.368,2.0,4.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,17.0,5.7,-9.0,0.4260651629072682,0.05263157894736842,0.12024048096192386,0.08016032064128256,1.5,1.0,0.0,21.88,1,0.33529411764705885,5.7,0.002770083102493075,8.5,0.7769652650822669,-0.23529411764705882,6.609833333333334,0.38881372549019616,0.0,0.0,False,True,False,False,False,False,rising,False,False,True,below 20,5.0,15.0,0.3333333333333333,False,False,False,True
26,2003-12-19,18,CLE,0,PHI,7,1.0,41,14.0,24.0,0.583,5.0,7.0,0.7140000000000001,3.0,3.0,1.0,1.0,3.0,4.0,5.0,4.0,0.0,4.0,1.0,36.0,29.5,9.0,0.7079646017699115,0.125,0.14524328249818447,0.11619462599854757,1.25,0.75,0.25,28.32,1,0.8194444444444444,9.833333333333334,0.005208333333333333,9.0,1.271186440677966,0.19444444444444445,35.35809756097561,0.9821693766937669,4.0,1.0,True,True,True,True,True,True,rising,True,False,True,above 35,9.0,17.0,0.5294117647058824,True,False,False,False
27,2003-12-20,18,CLE,0,CHI,8,1.0,41,11.0,22.0,0.5,0.0,5.0,0.0,10.0,12.0,0.833,1.0,5.0,6.0,10.0,2.0,2.0,4.0,2.0,32.0,28.0,9.0,0.5776173285198556,0.45454545454545453,0.2398081534772182,0.09592326139088729,2.5,0.8333333333333334,0.16666666666666666,30.28,1,0.875,2.8,0.02066115702479339,8.0,1.056803170409511,0.25,32.63221951219512,1.0197568597560975,4.0,1.0,True,False,False,True,True,True,rising,False,False,True,below 35,11.0,17.0,0.6470588235294118,True,False,True,False
28,2003-12-23,18,CLE,1,NOH,11,1.0,39,7.0,22.0,0.318,1.0,6.0,0.16699999999999998,7.0,8.0,0.875,2.0,4.0,6.0,2.0,6.0,1.0,5.0,1.0,22.0,14.3,9.0,0.4263565891472868,0.3181818181818182,0.06097560975609757,0.15243902439024393,0.4,0.6666666666666666,0.3333333333333333,28.52,1,0.65,2.042857142857143,0.014462809917355372,4.4,0.7713884992987378,0.5,16.809641025641035,0.7640745920745925,7.0,1.4,True,False,False,True,True,True,rising,False,False,False,below 35,6.0,16.0,0.375,False,False,True,False
29,2003-12-25,18,CLE,0,ORL,-12,1.0,47,13.0,28.0,0.46399999999999997,4.0,10.0,0.4,4.0,5.0,0.8,1.0,1.0,2.0,6.0,2.0,1.0,8.0,0.0,34.0,19.1,-9.0,0.5596707818930041,0.14285714285714285,0.1352112676056338,0.18028169014084508,0.75,0.5,0.5,37.2,1,0.5617647058823529,4.775,0.00510204081632653,4.25,0.9139784946236559,-0.35294117647058826,18.7460425531915,0.5513541927409265,3.0,0.375,False,False,False,False,True,True,rising,False,False,False,below 35,9.0,18.0,0.5,False,False,False,False
30,2003-12-26,18,CLE,1,CHI,-7,1.0,34,7.0,24.0,0.292,1.0,4.0,0.25,3.0,4.0,0.75,1.0,2.0,3.0,4.0,1.0,2.0,5.0,0.0,18.0,5.1,-12.0,0.3474903474903475,0.125,0.11461318051575932,0.14326647564469916,0.8,0.6666666666666666,0.3333333333333333,29.76,1,0.2833333333333333,1.7,0.005208333333333333,3.6,0.6048387096774194,-0.3888888888888889,5.218970588235296,0.2899428104575164,3.0,0.6,False,False,False,False,False,True,rising,False,True,False,below 20,6.0,20.0,0.3,False,False,False,False
31,2003-12-28,18,CLE,1,POR,12,1.0,39,15.0,23.0,0.652,0.0,2.0,0.0,2.0,2.0,1.0,3.0,7.0,10.0,9.0,3.0,0.0,5.0,1.0,32.0,30.0,11.0,0.6680584551148225,0.08695652173913043,0.23715415019762845,0.13175230566534912,1.8,0.7,0.3,25.88,1,0.9375,15.0,0.003780718336483932,6.4,1.2364760432766615,0.375,37.85805128205128,1.1830641025641024,3.0,0.6,True,False,True,False,True,True,rising,True,False,True,below 35,15.0,21.0,0.7142857142857143,True,False,False,False
